Employee_ID;Employee_Name;Salary;Position;State;Date_Of_Birth;Gender;Marital_Status;Hiring_Date;Termination_Date;Employment_Status;Department;Recruitment_Source;Performance_Score;Engagement_Survey;Employee_Satisfaction
170;"Benjamin Carter";63450;"Production Technician II";Massachusetts;03/19/79;M;Married;2013-07-08;NULL;Active;Production;LinkedIn;"Fully Meets";4;3
171;"Scarlett Hughes";51777;"IT Support";Connecticut;10/05/88;F;Single;2011-01-21;NULL;Active;IT/IS;"Diversity Job Fair";Exceeds;4.64;4
172;"Liam Turner";67237;"Production Technician II";Massachusetts;12/26/76;F;Widowed;2013-07-08;2016-09-15;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";4.65;4
173;"Abigail Reed";73330;"Production Technician II";Massachusetts;03/28/82;F;Single;2013-08-19;NULL;Active;Production;Indeed;Exceeds;4.2;4
174;"Caleb Morgan";52057;"Production Technician I";Massachusetts;10/22/75;F;Married;2015-02-16;NULL;Active;Production;Website;"Fully Meets";5;3
175;"Sofia Wright";47434;"Production Technician I";Massachusetts;02/14/73;F;Single;2011-11-07;2015-11-14;"Voluntarily Terminated";Production;"Diversity Job Fair";Exceeds;5;4
176;"Henry Gonzalez";52788;"Production Technician I";Massachusetts;11/09/72;M;Widowed;2012-09-24;2017-09-26;"Voluntarily Terminated";Production;Indeed;"Fully Meets";3.08;4
177;"Victoria Parker";45395;"Production Technician I";Massachusetts;07/07/86;F;Single;2014-01-06;NULL;Active;Production;LinkedIn;"Fully Meets";4.6;4
178;"Alexander Jenkins";62385;"Production Technician II";Massachusetts;08/25/76;F;Married;2016-05-11;NULL;Active;Production;LinkedIn;"Fully Meets";5;3
179;"Lucy Bell";68407;"Production Technician II";Massachusetts;12/10/86;F;Married;2011-07-05;2012-08-19;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";5;4
180;"Daniel Ramirez";61349;"Production Technician I";Massachusetts;11/07/74;F;Married;2013-11-11;NULL;Active;Production;LinkedIn;"Fully Meets";4.1;3
181;"Stella Nelson";105688;"Software Engineer";Massachusetts;11/07/87;F;Single;2013-11-11;NULL;Active;Engineering;"Google Search";"Fully Meets";4.5;5
182;"Jackson Cox";54132;"Production Technician I";Massachusetts;11/22/77;F;Married;2011-05-31;NULL;Active;Production;Indeed;"Fully Meets";5;4
183;"Isabella Simmons";55315;"Production Technician II";Massachusetts;05/21/87;F;Single;2015-03-30;NULL;Active;Production;LinkedIn;"Fully Meets";5;5
184;"Noah Ward";62810;"Production Technician I";Massachusetts;01/07/87;F;Married;2013-01-07;NULL;Active;Production;CareerBuilder;"Fully Meets";3.93;3
185;"Riley Rodriguez";63291;"Area Sales Manager";Texas;07/01/84;M;Married;2016-07-06;NULL;Active;Sales;Website;"Fully Meets";3.4;4
186;"Aiden Gray";62659;"Production Technician I";Massachusetts;05/30/68;F;Single;2012-04-02;2016-11-11;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.18;4
187;"Aurora Hayes";55688;"Production Technician I";Massachusetts;09/22/76;F;Single;2015-03-30;NULL;Active;Production;CareerBuilder;"Fully Meets";5;4
188;"Carter Richardson";83667;"Production Manager";Massachusetts;08/10/81;M;Single;2012-08-16;NULL;Active;Production;Indeed;"Fully Meets";4.37;3
189;"Penelope Evans";55800;"Production Technician II";Massachusetts;06/29/85;M;Single;2011-08-15;2014-09-04;"Voluntarily Terminated";Production;LinkedIn;PIP;3;2
190;"Logan Taylor";58207;"Production Technician II";Massachusetts;08/17/92;M;Married;2011-11-07;NULL;Active;Production;LinkedIn;"Fully Meets";3.7;3
191;"Harper Morris";157000;"IT Manager - Infra";Massachusetts;10/05/86;M;Married;2012-02-15;NULL;Active;IT/IS;"Diversity Job Fair";"Needs Improvement";2.39;3
192;"Matthew Green";72460;"Production Technician II";Massachusetts;04/24/70;F;Single;2013-05-13;NULL;Active;Production;Indeed;Exceeds;4.7;3
193;"Zoey Baker";72106;"Production Technician II";Massachusetts;12/03/76;M;Single;2012-01-09;NULL;Active;Production;"Diversity Job Fair";"Fully Meets";4.1;4
194;"David Phillips";52599;"Network Engineer";Massachusetts;04/04/79;F;Married;2015-02-16;NULL;Active;IT/IS;CareerBuilder;"Fully Meets";3.81;3
195;"Mila Butler";63430;"Production Technician I";Massachusetts;07/07/84;F;Divorced;2013-04-01;NULL;Active;Production;LinkedIn;"Fully Meets";4.4;4
196;"Joseph King";74417;"Production Technician II";Massachusetts;12/01/74;M;Separated;2013-05-13;NULL;Active;Production;LinkedIn;"Fully Meets";4.29;5
197;"Avery Coleman";57575;"Production Technician I";Massachusetts;04/18/80;M;Single;2013-07-08;NULL;Active;Production;LinkedIn;"Fully Meets";4.1;4
198;"Sebastian Smith";87921;"Senior BI Developer";Massachusetts;04/25/70;M;Single;2017-02-10;NULL;Active;IT/IS;Indeed;"Fully Meets";5;3
199;"Eleanor White";50470;"Production Technician I";Massachusetts;05/02/89;M;Single;2011-09-26;2014-04-04;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.3;3
200;"Leo Turner";46664;"Production Technician I";Massachusetts;03/28/83;M;Married;2013-04-01;2016-05-25;"Voluntarily Terminated";Production;"Employee Referral";"Fully Meets";3.18;3
201;"Addison Adams";48495;"Production Technician I";Massachusetts;04/08/77;M;Married;2014-05-12;NULL;Active;Production;LinkedIn;"Fully Meets";5;5
202;"Andrew Martin";52984;"Production Technician I";Massachusetts;06/03/67;F;Separated;2013-04-01;NULL;Active;Production;"Diversity Job Fair";Exceeds;4;3
203;"Brooklyn Peterson";63695;"Area Sales Manager";Georgia;03/31/89;F;Single;2013-07-08;NULL;Active;Sales;Indeed;"Fully Meets";5;5
204;"Nathan Clark";62061;"Production Technician I";Massachusetts;07/07/84;F;Single;2013-07-08;NULL;Active;Production;LinkedIn;"Fully Meets";3.6;5
205;"Leah Morris";66738;"Production Technician II";Massachusetts;11/23/85;F;Single;2014-11-10;NULL;Active;Production;Indeed;"Fully Meets";4.53;5
206;"Jack Hill";52674;"Production Technician I";Massachusetts;09/30/80;F;Single;2014-03-31;2018-05-01;"Terminated for Cause";Production;LinkedIn;PIP;2.33;2
207;"Grace Ross";71966;"Production Technician II";Massachusetts;02/11/52;F;Married;2012-05-14;2013-08-19;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";5;3
208;"Ryan Mitchell";63051;"Area Sales Manager";Florida;05/11/90;F;Single;2013-09-30;NULL;Active;Sales;Indeed;"Fully Meets";4.28;3
209;"Madison Collins";47414;"Production Technician I";Massachusetts;12/11/76;M;Married;2013-09-30;NULL;Active;Production;LinkedIn;Exceeds;5;3
210;"Gabriel Thompson";53060;"Production Technician I";Massachusetts;11/24/79;M;Single;2014-02-17;NULL;Active;Production;LinkedIn;"Needs Improvement";4.25;3
211;"Emily Cooper";68829;"Area Sales Manager";"North Carolina";05/19/82;M;Single;2015-01-05;NULL;Active;Sales;Website;"Fully Meets";5;5
212;"Dylan Martinez";63515;"Production Technician I";Massachusetts;05/01/79;F;Married;2011-02-07;2014-01-12;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";3.89;4
213;"Hazel Watson";108987;"Software Engineer";Massachusetts;02/20/79;M;Single;2011-11-07;2015-09-07;"Voluntarily Terminated";Engineering;"Diversity Job Fair";Exceeds;5;5
214;"Zachary Stewart";93093;"Data Analyst";Massachusetts;09/05/84;M;Married;2014-12-01;2016-05-01;"Voluntarily Terminated";IT/IS;"Employee Referral";"Fully Meets";4.7;4
215;"Audrey Anderson";53564;"Production Technician I";Massachusetts;03/17/88;M;Single;2011-01-10;2017-12-28;"Voluntarily Terminated";Production;"Google Search";"Needs Improvement";3.54;5
216;"William Murphy";60270;"Production Technician II";Massachusetts;07/18/89;F;Married;2011-07-05;2015-09-15;"Voluntarily Terminated";Production;CareerBuilder;"Needs Improvement";2.4;5
217;"Scarlett Mitchell";45998;"Production Technician I";Massachusetts;07/20/86;F;Single;2011-05-16;2015-10-25;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";3.45;4
218;"Samuel Campbell";57954;"Production Technician II";Massachusetts;08/17/86;F;Married;2011-05-16;2013-02-04;"Voluntarily Terminated";Production;Indeed;Exceeds;4.2;5
219;"Lila Bennett";74669;"Production Manager";Massachusetts;05/09/77;F;Married;2010-10-25;2016-05-18;"Voluntarily Terminated";Production;Indeed;"Fully Meets";4.16;5
220;"Oliver Sanchez";74226;"Production Technician II";Massachusetts;03/10/79;F;Married;2012-04-02;NULL;Active;Production;LinkedIn;"Fully Meets";4.3;3
221;"Victoria Roberts";93554;"Data Analyst";Massachusetts;09/16/84;F;Married;2014-11-10;NULL;Active;IT/IS;"Employee Referral";Exceeds;4.6;5
222;"Daniel Foster";64724;"Production Technician I";Massachusetts;03/06/88;M;Married;2011-07-05;2012-11-30;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";5;3
223;"Stella Henderson";47001;"Production Technician I";Massachusetts;11/23/81;M;Single;2007-11-05;NULL;Active;Production;"Google Search";"Fully Meets";3.66;3
224;"James Clarke";61844;"Area Sales Manager";Kentucky;08/29/88;F;Married;2012-01-09;NULL;Active;Sales;Website;"Fully Meets";4.2;5
225;"Ava Lewis";46799;"Production Technician I";Massachusetts;10/15/84;F;Divorced;2011-05-16;2018-06-04;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";3.17;4
226;"Ethan Rivera";59472;"Production Technician I";Massachusetts;06/19/61;M;Single;2014-01-06;NULL;Active;Production;"Employee Referral";"Fully Meets";4.8;3
227;"Sophia Price";46430;"Production Technician I";Massachusetts;09/22/70;F;Divorced;2012-09-24;2013-06-18;"Voluntarily Terminated";Production;Indeed;"Fully Meets";4.5;5
228;"Elijah Adams";83363;"Software Engineer";Massachusetts;11/06/84;M;Married;2011-02-21;2015-08-15;"Voluntarily Terminated";Engineering;"Diversity Job Fair";"Fully Meets";4.15;4
229;"Lily Bryant";95920;"BI Developer";Massachusetts;05/12/80;F;Married;2016-10-02;NULL;Active;IT/IS;Indeed;"Fully Meets";4.4;4
230;"Gabriel Carter";61729;"Production Technician I";Massachusetts;12/31/84;M;Divorced;2011-09-26;2018-04-07;"Voluntarily Terminated";Production;Indeed;"Fully Meets";3.8;5
231;"Chloe Hughes";61809;"Area Sales Manager";Idaho;10/12/54;M;Married;2014-05-12;NULL;Active;Sales;CareerBuilder;"Fully Meets";3.98;3
232;"Owen Turner";45115;"Production Technician I";Massachusetts;07/22/82;M;Divorced;2011-05-16;2016-01-15;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";5;4
233;"Grace Reed";46738;"Production Technician I";Massachusetts;01/12/73;F;Married;2011-11-28;NULL;Active;Production;"Google Search";Exceeds;4.36;5
234;"Isaac Morgan";64971;"Production Technician II";Massachusetts;09/05/81;F;Divorced;2011-09-26;2011-10-22;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";4.5;4
235;"Olivia Wright";55578;"Production Technician II";Massachusetts;07/03/72;M;Married;2011-07-05;2012-02-08;"Voluntarily Terminated";Production;Indeed;"Fully Meets";4.2;5
236;"Benjamin Gonzalez";50428;"Production Technician I";Massachusetts;01/07/74;M;Married;2011-01-10;2016-01-26;"Voluntarily Terminated";Production;Indeed;"Fully Meets";5;3
237;"Harper Parker";61422;"Production Technician I";Massachusetts;01/07/85;F;Married;2011-01-10;2016-05-17;"Terminated for Cause";Production;Indeed;"Needs Improvement";3.6;3
238;"Mason Jenkins";63353;"Production Technician I";Massachusetts;01/28/85;M;Widowed;2013-07-08;NULL;Active;Production;"Employee Referral";Exceeds;3.6;5
239;"Amelia Bell";89883;"Data Analyst";Massachusetts;10/11/81;F;Married;2015-02-16;NULL;Active;IT/IS;"Employee Referral";"Fully Meets";3.69;5
240;"Samuel Ramirez";120000;"Principal Data Architect";Massachusetts;05/27/73;F;Single;2015-01-05;2018-11-10;"Voluntarily Terminated";IT/IS;LinkedIn;"Fully Meets";3.88;3
241;"Ava Nelson";150290;"Data Architect";Massachusetts;11/21/72;F;Single;2017-01-07;NULL;Active;IT/IS;Indeed;"Fully Meets";4.94;3
242;"Julian Cox";60627;"Production Technician I";Massachusetts;12/05/74;F;Separated;2014-01-06;NULL;Active;Production;Website;"Fully Meets";5;4
243;"Emily Simmons";53180;"Production Technician I";Massachusetts;03/18/87;M;Single;2011-04-04;2018-08-13;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";5;5
244;"Liam Ward";140920;"IT Manager - DB";Massachusetts;04/05/73;M;Single;2013-01-20;NULL;Active;IT/IS;Indeed;"Fully Meets";3.6;5
245;"Abigail Rodriguez";148999;"IT Manager - DB";Massachusetts;01/04/64;M;Divorced;2012-01-09;2015-11-04;"Voluntarily Terminated";IT/IS;"Diversity Job Fair";"Fully Meets";4.3;4
246;"Caleb Gray";86214;"Software Engineer";Massachusetts;07/24/86;F;Married;2012-11-05;NULL;Active;Engineering;Indeed;"Fully Meets";4.2;3
247;"Sofia Hayes";47750;"Production Technician I";Massachusetts;06/06/68;F;Single;2016-07-04;NULL;Active;Production;"Diversity Job Fair";"Needs Improvement";2.6;4
248;"Henry Richardson";46428;"Production Technician I";Massachusetts;12/21/74;M;Single;2009-01-05;2018-07-30;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";4.6;5
249;"Victoria Evans";57975;"Production Technician II";Massachusetts;04/26/86;M;Married;2010-08-30;NULL;Active;Production;CareerBuilder;"Fully Meets";4.1;3
250;"Alexander Green";88527;"Data Analyst ";Massachusetts;12/17/87;M;Divorced;2015-01-05;2015-10-31;"Voluntarily Terminated";IT/IS;LinkedIn;"Fully Meets";4.2;3
251;"Lucy Baker";56147;"Production Technician I";Massachusetts;07/10/88;F;Married;2014-09-29;NULL;Active;Production;LinkedIn;"Fully Meets";3.51;3
252;"Kwame Adu";50923;"Production Technician I";Massachusetts;03/10/75;F;Single;2013-09-30;NULL;Active;Production;"Google Search";"Fully Meets";5;5
253;"Abena Mensah";50750;"Network Engineer";Massachusetts;04/14/81;F;Married;2014-09-30;NULL;Active;IT/IS;LinkedIn;"Fully Meets";3.31;3
254;"Kofi Osei";52087;"Production Technician I";Massachusetts;08/24/85;F;Married;2013-08-19;NULL;Active;Production;LinkedIn;"Fully Meets";4.81;4
255;"Akua Boateng";87826;"Data Analyst";Massachusetts;02/08/70;M;Married;2015-01-05;NULL;Active;IT/IS;"Employee Referral";"Fully Meets";3.32;3
256;"Nana Acheampong";51920;"Administrative Assistant";Massachusetts;05/19/88;F;Single;2015-05-01;NULL;Active;"Admin Offices";Website;"Fully Meets";5;3
257;"Esi Amponsah";63878;"Production Technician II";Massachusetts;11/25/87;F;Single;2009-10-26;2015-04-08;"Voluntarily Terminated";Production;CareerBuilder;"Fully Meets";4.68;4
258;"Kwadwo Owusu";60656;"Production Technician II";Massachusetts;10/30/63;M;Single;2014-09-29;NULL;Active;Production;Indeed;Exceeds;4.3;3
259;"Ama Gyasi";72992;"Sales Manager";Massachusetts;08/16/84;M;Divorced;2014-05-18;NULL;Active;Sales;"Diversity Job Fair";"Needs Improvement";2.4;4
260;"Kojo Ansah";55000;"Administrative Assistant";Massachusetts;06/14/87;F;Married;2011-09-26;2013-09-25;"Voluntarily Terminated";"Admin Offices";"Diversity Job Fair";"Fully Meets";3.8;4
261;"Yaa Appiah";58939;"Production Technician I";Massachusetts;02/02/65;F;Single;2013-11-11;NULL;Active;Production;"Employee Referral";"Fully Meets";3.73;3
262;"Kwesi Mensah";66593;"IT Support";Massachusetts;03/12/73;F;Married;2011-06-10;NULL;Active;IT/IS;LinkedIn;"Fully Meets";4.3;3
263;"Afia Darko";87565;"Sr. Network Engineer";Massachusetts;02/09/83;M;Married;2016-06-30;NULL;Active;IT/IS;LinkedIn;"Fully Meets";3.27;4
264;"Kwabena Boateng";64021;"Production Technician I";Massachusetts;07/20/68;F;Married;2012-02-20;NULL;Active;Production;Indeed;PIP;2.4;2
265;"Adwoa Agyemang";65714;"Production Manager";Massachusetts;09/30/75;F;Married;2012-10-02;NULL;Active;Production;LinkedIn;"Fully Meets";4.83;5
266;"Nii Tetteh";62425;"Production Technician I";Massachusetts;03/26/73;F;Divorced;2013-05-13;2015-06-29;"Voluntarily Terminated";Production;LinkedIn;Exceeds;4.1;4
267;"Maa Anokye";47961;"Production Technician I";Massachusetts;08/25/82;F;Divorced;2011-01-10;NULL;Active;Production;"Google Search";"Fully Meets";4.1;4
268;"Kweku Asante";58273;"Area Sales Manager";Nevada;05/09/74;M;Married;2014-05-12;NULL;Active;Sales;Website;PIP;1.81;2
269;"Aba Obeng";63003;"Accountant I";Massachusetts;09/01/86;M;Single;2014-09-29;NULL;Active;"Admin Offices";Indeed;"Fully Meets";3.9;5
270;"Kwaku Ofori";61355;"Production Technician I";Massachusetts;03/14/85;M;Married;2014-02-17;NULL;Active;Production;LinkedIn;"Fully Meets";4.7;3
271;"Akosua Adu";60120;"Area Sales Manager";Montana;05/12/89;F;Married;2010-09-27;NULL;Active;Sales;Indeed;"Fully Meets";4.1;4
272;"Kobby Osei";63682;"Production Manager";Massachusetts;03/28/78;F;Married;2009-01-08;NULL;Active;Production;Indeed;"Fully Meets";3.73;4
273;"Adwoa Asare";63025;"Production Technician I";Massachusetts;10/07/82;M;Married;2015-01-05;NULL;Active;Production;"Google Search";"Fully Meets";4.36;5
274;"Kojo Amoah";59238;"Production Technician I";Massachusetts;08/15/68;F;Single;2012-05-14;NULL;Active;Production;Indeed;"Fully Meets";3.4;5
275;"Efia Yeboah";92989;"Software Engineer";Massachusetts;05/06/83;M;Single;2014-07-07;NULL;Active;Engineering;LinkedIn;Exceeds;4.5;5
276;"Kwame Addo";90100;"BI Developer";Massachusetts;10/24/87;M;Married;2017-04-20;NULL;Active;IT/IS;Indeed;"Fully Meets";3.4;3
277;"Akua Owusu";60754;"Production Technician I";Massachusetts;04/03/75;F;Married;2009-04-27;2013-04-01;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.5;5
278;"Kwesi Acheampong";72202;"Production Technician II";Massachusetts;05/24/53;F;Married;2011-05-16;2017-07-08;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";3.93;3
279;"Ama Mensah";58370;"Area Sales Manager";Oregon;05/07/65;F;Single;2014-09-29;NULL;Active;Sales;Indeed;"Fully Meets";3.69;3
280;"Nana Boateng";48413;"Production Technician I";Massachusetts;05/09/65;F;Single;2011-07-05;2016-09-05;"Voluntarily Terminated";Production;Indeed;"Fully Meets";3.98;4
281;"Esi Amankwah";67176;"Production Technician II";Massachusetts;09/16/75;M;Widowed;2007-06-25;2010-08-30;"Voluntarily Terminated";Production;Other;"Fully Meets";4.1;4
282;"Kofi Appiah";56339;"Production Technician I";Massachusetts;06/05/67;F;Divorced;2013-02-18;NULL;Active;Production;Indeed;"Fully Meets";4.21;5
283;"Abena Adjei";64397;"Area Sales Manager";"North Dakota";01/15/68;M;Separated;2006-01-09;NULL;Active;Sales;Indeed;Exceeds;4.1;3
284;"Kojo Ampofo";63025;"Production Technician I";Massachusetts;05/16/83;F;Single;2014-02-17;NULL;Active;Production;LinkedIn;"Needs Improvement";2.44;5
285;"Yaa Ansah";75281;"Network Engineer";Massachusetts;05/05/88;M;Married;2015-01-05;2016-02-12;"Voluntarily Terminated";IT/IS;CareerBuilder;"Fully Meets";5;3
286;"Kwadwo Darko";100416;"Software Engineer";Massachusetts;06/14/83;M;Single;2013-02-18;2018-04-15;"Voluntarily Terminated";Engineering;"Diversity Job Fair";"Fully Meets";4.6;3
287;"Akua Addo";74813;"Production Technician II";Massachusetts;03/15/85;F;Single;2011-01-10;2014-07-02;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";4.4;3
288;"Kweku Agyemang";76029;"Network Engineer";Massachusetts;03/31/69;M;Married;2015-03-30;NULL;Active;IT/IS;"Employee Referral";"Fully Meets";5;4
289;"Afia Mensah";57859;"Area Sales Manager";Arizona;05/23/91;F;Married;2011-07-05;NULL;Active;Sales;Indeed;"Fully Meets";2.81;3
290;"Kwabena Osei";58523;"Production Technician I";Massachusetts;01/31/87;M;Divorced;2012-08-13;2016-02-05;"Voluntarily Terminated";Production;LinkedIn;Exceeds;4.5;5
291;"Ama Gyamfi";88976;"Production Manager";Massachusetts;10/10/68;M;Divorced;2011-08-01;NULL;Active;Production;"Employee Referral";"Fully Meets";3.93;3
292;"Nii Amponsah";55875;"Area Sales Manager";Maine;07/11/89;M;Single;2012-03-05;NULL;Active;Sales;Website;"Fully Meets";4.5;4
293;"Adwoa Boateng";113999;"Database Administrator";Massachusetts;08/07/86;M;Married;2015-02-16;2017-02-22;"Terminated for Cause";IT/IS;"Employee Referral";"Fully Meets";4.33;3
294;"Kobby Asamoah";49773;"Production Technician I";Massachusetts;06/03/86;F;Married;2011-09-26;2016-02-08;"Terminated for Cause";Production;"Google Search";Exceeds;4.3;5
295;"Akosua Badu";62068;"Production Technician I";Massachusetts;04/06/85;F;Single;2015-07-05;NULL;Active;Production;LinkedIn;"Fully Meets";3.21;3
296;"Kwaku Nkrumah";66541;"Production Technician II";Massachusetts;02/10/76;M;Single;2014-08-18;NULL;Active;Production;"Employee Referral";"Fully Meets";3.11;5
297;"Aba Agyei";80512;"Production Manager";Massachusetts;11/14/55;F;Married;2011-09-26;2012-01-02;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.5;3
298;"Kwame Bonsu";50274;"Production Technician I";Massachusetts;08/02/80;F;Single;2012-08-13;2015-09-01;"Voluntarily Terminated";Production;CareerBuilder;"Needs Improvement";2.5;3
299;"Kojo Anane";84903;"Senior BI Developer";Massachusetts;07/08/81;M;Single;2017-02-15;NULL;Active;IT/IS;Indeed;"Fully Meets";3.42;4
300;"Efia Owusu";107226;"Sr. Network Engineer";Massachusetts;05/02/78;F;Widowed;2015-03-30;NULL;Active;IT/IS;"Employee Referral";"Fully Meets";4.2;4
301;"Kwesi Arthur";58371;"Production Technician I";Massachusetts;05/24/87;M;Single;2011-01-10;2014-05-15;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";5;5
302;"Akua Anokye";55140;"Production Technician I";Massachusetts;09/09/65;M;Married;2011-05-16;2015-09-07;"Voluntarily Terminated";Production;Website;"Fully Meets";5;3
303;"Kwabena Asamoah";58062;"Production Technician I";Massachusetts;07/30/83;F;Divorced;2011-01-10;2012-05-14;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";3.6;5
304;"Ama Asante";59728;"Production Technician I";Massachusetts;10/02/69;F;Single;2012-01-09;2015-06-27;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.3;4
305;"Kofi Mensah";70507;"Production Technician II";Massachusetts;11/07/58;M;Single;2013-01-07;2016-02-21;"Voluntarily Terminated";Production;LinkedIn;Exceeds;5;3
306;"Abena Yeboah";60446;"Production Technician II";Massachusetts;04/20/85;F;Single;2014-09-29;NULL;Active;Production;LinkedIn;"Fully Meets";3.4;4
307;"Nana Asare";65893;"Production Technician II";Massachusetts;05/11/85;M;Single;2014-07-07;NULL;Active;Production;LinkedIn;"Fully Meets";4.07;4
308;"Yaa Yeboah";48513;"Production Technician I";Massachusetts;05/04/82;F;Single;2008-09-02;2015-09-29;"Voluntarily Terminated";Production;"Google Search";PIP;3.2;2
309;"Kojo Ofori";220450;CIO;Massachusetts;08/30/79;F;Single;2010-04-10;NULL;Active;IT/IS;"Employee Referral";Exceeds;4.6;5
310;"Esi Amoako";89292;"Data Analyst";Massachusetts;02/24/79;F;Single;2015-03-30;NULL;Active;IT/IS;"Employee Referral";"Fully Meets";5;3
311;"Kweku Annan";45046;"Production Technician I";Massachusetts;08/17/78;F;Widowed;2014-09-29;NULL;Active;Production;LinkedIn;"Fully Meets";4.5;5
